Client IP,Bandwidth (GB),,,
136.16.83.65,36.96, ded1qwnl12.kerpen.visteon.com,,
10.185.4.131,36.44,sofia squid,,
10.185.2.58,24.37,a2378s058.sofia.visteon.com,,
136.18.206.25,15.60,52dm7x1.chennai.visteon.com,,
10.218.200.226,11.50,Chennai Squid,,
10.185.2.31,10.25,a2378s027.sofia.visteon.com,Device Name: ,TC-UK-SLOUGH-7006-IP-IZOIW-03-R-1 (10.81.92.78) [v9]
136.18.253.118,8.85,indina339xy8v.vistcorp.ad.visteon.com,,
10.218.200.225,8.19,Chennai Squid 2,Interface Name: , Tu200 • [DMVPN:TO LN GW]
10.185.18.32,3.66,0501308.sofia.visteon.com,,
10.218.200.208,3.12,http://chipd010.chennai.visteon.com:9090,Direction:,Outgoing
10.185.4.134,2.98,?,,
136.18.201.82,2.69,indfqkk882.vistcorp.ad.visteon.com,View:,Conversation with Application
10.185.18.132,2.62,?,,
136.18.201.42,2.35,ind9pl4t72.vistcorp.ad.visteon.com,Time Span:," Jul 2, 2018 2:00:00 AM EDT to Jul 2, 2018 9:00:00 AM EDT"
136.17.77.107,2.02, pdws345.vistcorp.ad.visteon.com,,
136.18.205.254,1.87,,,
136.17.205.254,1.85,,,
10.142.144.78,1.79,,,
10.185.18.68,1.77,,,
10.142.147.53,1.73,,,
10.185.18.201,1.56,,,
136.18.197.10,1.41,,,
136.16.199.254,1.25,,,
10.142.147.105,1.18,,,
10.185.21.103,1.07,,,
10.185.19.50,1.03,,,
136.17.90.56,0.70,,,
10.185.20.53,0.70,,,
136.18.201.127,0.65,,,
10.141.224.126,0.63,,,
136.18.253.62,0.63,,,
136.17.90.94,0.63,,,
136.18.206.190,0.62,,,
136.18.201.90,0.62,,,
10.185.18.56,0.61,,,
136.18.206.117,0.61,,,
136.18.201.5,0.60,,,
136.17.90.92,0.57,,,
136.18.201.140,0.57,,,
136.18.253.42,0.49,,,
136.17.90.69,0.49,,,
136.18.201.94,0.48,,,
136.18.201.40,0.46,,,
10.185.18.96,0.43,,,
136.17.78.224,0.43,,,
10.185.19.60,0.40,,,
136.17.90.109,0.34,,,
10.118.200.200,0.31,,,
136.18.201.7,0.25,,,
136.18.201.9,0.25,,,
136.17.90.116,0.25,,,
136.18.201.104,0.24,,,
136.18.201.158,0.24,,,
136.17.90.142,0.24,,,
136.17.90.45,0.24,,,
136.18.201.152,0.23,,,
136.18.201.26,0.23,,,
136.18.201.164,0.23,,,
136.18.201.141,0.23,,,
136.18.201.97,0.21,,,
136.18.201.139,0.21,,,
136.18.253.66,0.21,,,
10.185.4.92,0.19,,,
136.17.90.106,0.17,,,
136.18.201.111,0.17,,,
136.18.201.72,0.17,,,
136.18.201.113,0.15,,,
136.18.201.130,0.15,,,
136.16.82.27,0.14,,,
136.18.201.142,0.12,,,
136.18.201.110,0.12,,,
136.18.201.132,0.12,,,
136.18.201.47,0.12,,,
136.18.201.53,0.12,,,
10.185.7.54,0.11,,,
10.185.7.53,0.11,,,
10.185.18.51,0.11,,,
10.185.20.99,0.11,,,
136.18.200.174,0.11,,,
136.18.206.42,0.10,,,
136.18.201.32,0.09,,,
